"GEO";"GEO_OBJECT";"SEX";"AGE";"EP_MEASURE";"OBS_STATUS_FR";TIME_PERIOD;OBS_VALUE
"53";"DEP";"_T";"_T";"POP";"D";1996;282376
"43";"DEP";"_T";"_T";"POP";"D";1996;206895
"13";"DEP";"_T";"_T";"POP";"D";1996;1809226
"30";"DEP";"_T";"_T";"POP";"D";1996;608972
"12";"DEP";"_T";"_T";"POP";"D";1996;265492
"17";"DEP";"_T";"_T";"POP";"D";1996;543835
"48";"DEP";"_T";"_T";"POP";"D";1996;73033
"78";"DEP";"_T";"_T";"POP";"D";1997;1353180
"31";"DEP";"_T";"_T";"POP";"D";1997;1016846
"64";"DEP";"_T";"_T";"POP";"D";1997;591529
"94";"DEP";"_T";"_T";"POP";"D";1997;1222429
"51";"DEP";"_T";"_T";"POP";"D";1997;565798
"76";"DEP";"_T";"_T";"POP";"D";1997;1239146
"79";"DEP";"_T";"_T";"POP";"D";1997;344760
"77";"DEP";"_T";"_T";"POP";"D";1997;1176289
"82";"DEP";"_T";"_T";"POP";"D";1997;205208
"24";"DEP";"_T";"_T";"POP";"D";1997;387393
"11";"DEP";"_T";"_T";"POP";"D";1997;305604
"19";"DEP";"_T";"_T";"POP";"D";1997;233767
"57";"DEP";"_T";"_T";"POP";"D";1997;1022509
"95";"DEP";"_T";"_T";"POP";"D";1997;1100050
"92";"DEP";"_T";"_T";"POP";"D";1997;1412292
"23";"DEP";"_T";"_T";"POP";"D";1997;125856
"08";"DEP";"_T";"_T";"POP";"D";1997;292175
"01";"DEP";"_T";"_T";"POP";"D";1997;504201
"73";"DEP";"_T";"_T";"POP";"D";1997;366909
"35";"DEP";"_T";"_T";"POP";"D";1997;848726
"28";"DEP";"_T";"_T";"POP";"D";1997;407793
"61";"DEP";"_T";"_T";"POP";"D";1997;293414
"74";"DEP";"_T";"_T";"POP";"D";1997;619963
"39";"DEP";"_T";"_T";"POP";"D";1997;250659
"09";"DEP";"_T";"_T";"POP";"D";1997;136544
"52";"DEP";"_T";"_T";"POP";"D";1997;197242
"56";"DEP";"_T";"_T";"POP";"D";1997;635229
"03";"DEP";"_T";"_T";"POP";"D";1997;348200
"16";"DEP";"_T";"_T";"POP";"D";1997;340431
"53";"DEP";"_T";"_T";"POP";"D";1997;283126
"25";"DEP";"_T";"_T";"POP";"D";1997;497719
"69";"DEP";"_T";"_T";"POP";"D";1997;1561309
"66";"DEP";"_T";"_T";"POP";"D";1997;385113
"75";"DEP";"_T";"_T";"POP";"D";1997;2110869
"59";"DEP";"_T";"_T";"POP";"D";1997;2553508
"27";"DEP";"_T";"_T";"POP";"D";1997;537186
"89";"DEP";"_T";"_T";"POP";"D";1997;331697
"85";"DEP";"_T";"_T";"POP";"D";1997;531497
"36";"DEP";"_T";"_T";"POP";"D";1997;232829
"04";"DEP";"_T";"_T";"POP";"D";1997;138373
"42";"DEP";"_T";"_T";"POP";"D";1997;735287
"71";"DEP";"_T";"_T";"POP";"D";1997;549365
"37";"DEP";"_T";"_T";"POP";"D";1997;549262
"22";"DEP";"_T";"_T";"POP";"D";1997;539324
"58";"DEP";"_T";"_T";"POP";"D";1997;227623
"91";"DEP";"_T";"_T";"POP";"D";1997;1131514
"13";"DEP";"_T";"_T";"POP";"D";1997;1815271
"14";"DEP";"_T";"_T";"POP";"D";1997;641868
"29";"DEP";"_T";"_T";"POP";"D";1997;847075
"80";"DEP";"_T";"_T";"POP";"D";1997;553670
"81";"DEP";"_T";"_T";"POP";"D";1997;342116
"60";"DEP";"_T";"_T";"POP";"D";1997;763991
"974";"DEP";"_T";"_T";"POP";"D";1997;680185
"05";"DEP";"_T";"_T";"POP";"D";1997;119433
"971";"DEP";"_T";"_T";"POP";"D";1997;376164
"67";"DEP";"_T";"_T";"POP";"D";1997;1009849
"973";"DEP";"_T";"_T";"POP";"D";1997;144937
"47";"DEP";"_T";"_T";"POP";"D";1997;304591
"34";"DEP";"_T";"_T";"POP";"D";1997;872270
"972";"DEP";"_T";"_T";"POP";"D";1997;373873
"41";"DEP";"_T";"_T";"POP";"D";1997;313660
"38";"DEP";"_T";"_T";"POP";"D";1997;1076887
"30";"DEP";"_T";"_T";"POP";"D";1997;612981
"33";"DEP";"_T";"_T";"POP";"D";1997;1270159
"12";"DEP";"_T";"_T";"POP";"D";1997;265027
"45";"DEP";"_T";"_T";"POP";"D";1997;612369
"02";"DEP";"_T";"_T";"POP";"D";1997;537751
"17";"DEP";"_T";"_T";"POP";"D";1997;547041
"87";"DEP";"_T";"_T";"POP";"D";1997;354424
"2B";"DEP";"_T";"_T";"POP";"D";1997;140385
"93";"DEP";"_T";"_T";"POP";"D";1997;1388804
"86";"DEP";"_T";"_T";"POP";"D";1997;395846
"10";"DEP";"_T";"_T";"POP";"D";1997;292712
"07";"DEP";"_T";"_T";"POP";"D";1997;283811
"72";"DEP";"_T";"_T";"POP";"D";1997;526451
"46";"DEP";"_T";"_T";"POP";"D";1997;159074
"83";"DEP";"_T";"_T";"POP";"D";1997;882587
"70";"DEP";"_T";"_T";"POP";"D";1997;229186
"18";"DEP";"_T";"_T";"POP";"D";1997;316121
"68";"DEP";"_T";"_T";"POP";"D";1997;700930
"88";"DEP";"_T";"_T";"POP";"D";1997;382949
"55";"DEP";"_T";"_T";"POP";"D";1997;194338
"50";"DEP";"_T";"_T";"POP";"D";1997;480858
"90";"DEP";"_T";"_T";"POP";"D";1997;137155
"54";"DEP";"_T";"_T";"POP";"D";1997;716448
"21";"DEP";"_T";"_T";"POP";"D";1997;505716
"15";"DEP";"_T";"_T";"POP";"D";1997;152740
"2A";"DEP";"_T";"_T";"POP";"D";1997;118712
"32";"DEP";"_T";"_T";"POP";"D";1997;172401
"43";"DEP";"_T";"_T";"POP";"D";1997;207555
"26";"DEP";"_T";"_T";"POP";"D";1997;432251
"62";"DEP";"_T";"_T";"POP";"D";1997;1441027
"44";"DEP";"_T";"_T";"POP";"D";1997;1114088
"48";"DEP";"_T";"_T";"POP";"D";1997;73219
"84";"DEP";"_T";"_T";"POP";"D";1997;492980
"65";"DEP";"_T";"_T";"POP";"D";1997;223109
"06";"DEP";"_T";"_T";"POP";"D";1997;1002360
"63";"DEP";"_T";"_T";"POP";"D";1997;601736
"49";"DEP";"_T";"_T";"POP";"D";1997;727143
"40";"DEP";"_T";"_T";"POP";"D";1997;323150
"25";"DEP";"_T";"_T";"POP";"D";1998;498613
"54";"DEP";"_T";"_T";"POP";"D";1998;715062
"23";"DEP";"_T";"_T";"POP";"D";1998;125314
"88";"DEP";"_T";"_T";"POP";"D";1998;381791
"43";"DEP";"_T";"_T";"POP";"D";1998;208285
"31";"DEP";"_T";"_T";"POP";"D";1998;1029466
"39";"DEP";"_T";"_T";"POP";"D";1998;250917
"06";"DEP";"_T";"_T";"POP";"D";1998;1006282
"78";"DEP";"_T";"_T";"POP";"D";1998;1353723
"70";"DEP";"_T";"_T";"POP";"D";1998;229150
"04";"DEP";"_T";"_T";"POP";"D";1998;139454
"14";"DEP";"_T";"_T";"POP";"D";1998;644513
"80";"DEP";"_T";"_T";"POP";"D";1998;554595
"91";"DEP";"_T";"_T";"POP";"D";1998;1133653
"63";"DEP";"_T";"_T";"POP";"D";1998;602853
"21";"DEP";"_T";"_T";"POP";"D";1998;506212
"94";"DEP";"_T";"_T";"POP";"D";1998;1225473
"49";"DEP";"_T";"_T";"POP";"D";1998;729551
"73";"DEP";"_T";"_T";"POP";"D";1998;369897
"69";"DEP";"_T";"_T";"POP";"D";1998;1566215
"61";"DEP";"_T";"_T";"POP";"D";1998;292912
"85";"DEP";"_T";"_T";"POP";"D";1998;535322
"56";"DEP";"_T";"_T";"POP";"D";1998;639772
"74";"DEP";"_T";"_T";"POP";"D";1998;625854
"90";"DEP";"_T";"_T";"POP";"D";1998;137234
"66";"DEP";"_T";"_T";"POP";"D";1998;389051
"82";"DEP";"_T";"_T";"POP";"D";1998;205519
"52";"DEP";"_T";"_T";"POP";"D";1998;196378
"60";"DEP";"_T";"_T";"POP";"D";1998;765111
"17";"DEP";"_T";"_T";"POP";"D";1998;552641
"29";"DEP";"_T";"_T";"POP";"D";1998;849779
"28";"DEP";"_T";"_T";"POP";"D";1998;408212
"27";"DEP";"_T";"_T";"POP";"D";1998;539608
"87";"DEP";"_T";"_T";"POP";"D";1998;353941
"24";"DEP";"_T";"_T";"POP";"D";1998;388050
"12";"DEP";"_T";"_T";"POP";"D";1998;264419
"76";"DEP";"_T";"_T";"POP";"D";1998;1239784
"09";"DEP";"_T";"_T";"POP";"D";1998;136732
"92";"DEP";"_T";"_T";"POP";"D";1998;1419110
"86";"DEP";"_T";"_T";"POP";"D";1998;397941
"10";"DEP";"_T";"_T";"POP";"D";1998;292676
"19";"DEP";"_T";"_T";"POP";"D";1998;233347
"75";"DEP";"_T";"_T";"POP";"D";1998;2111315
"34";"DEP";"_T";"_T";"POP";"D";1998;884890
"50";"DEP";"_T";"_T";"POP";"D";1998;481349
"02";"DEP";"_T";"_T";"POP";"D";1998;536629
"44";"DEP";"_T";"_T";"POP";"D";1998;1124006
"971";"DEP";"_T";"_T";"POP";"D";1998;380738
"18";"DEP";"_T";"_T";"POP";"D";1998;315255
"46";"DEP";"_T";"_T";"POP";"D";1998;159657
"05";"DEP";"_T";"_T";"POP";"D";1998;120972
"79";"DEP";"_T";"_T";"POP";"D";1998;344574
"973";"DEP";"_T";"_T";"POP";"D";1998;150242
"45";"DEP";"_T";"_T";"POP";"D";1998;616372
"53";"DEP";"_T";"_T";"POP";"D";1998;283893
"93";"DEP";"_T";"_T";"POP";"D";1998;1386023
"2A";"DEP";"_T";"_T";"POP";"D";1998;118463
"84";"DEP";"_T";"_T";"POP";"D";1998;496948
"16";"DEP";"_T";"_T";"POP";"D";1998;339932
"55";"DEP";"_T";"_T";"POP";"D";1998;192797
"33";"DEP";"_T";"_T";"POP";"D";1998;1276453
"48";"DEP";"_T";"_T";"POP";"D";1998;73507
"71";"DEP";"_T";"_T";"POP";"D";1998;547472
"30";"DEP";"_T";"_T";"POP";"D";1998;618151
"03";"DEP";"_T";"_T";"POP";"D";1998;346640
"72";"DEP";"_T";"_T";"POP";"D";1998;527687
"83";"DEP";"_T";"_T";"POP";"D";1998;891598
"40";"DEP";"_T";"_T";"POP";"D";1998;325077
"64";"DEP";"_T";"_T";"POP";"D";1998;594245
"26";"DEP";"_T";"_T";"POP";"D";1998;435256
"15";"DEP";"_T";"_T";"POP";"D";1998;151841
"37";"DEP";"_T";"_T";"POP";"D";1998;551498
"47";"DEP";"_T";"_T";"POP";"D";1998;304968
"38";"DEP";"_T";"_T";"POP";"D";1998;1085203
"41";"DEP";"_T";"_T";"POP";"D";1998;314616
"2B";"DEP";"_T";"_T";"POP";"D";1998;141003
"13";"DEP";"_T";"_T";"POP";"D";1998;1824390
"67";"DEP";"_T";"_T";"POP";"D";1998;1016591
"42";"DEP";"_T";"_T";"POP";"D";1998;731657
"36";"DEP";"_T";"_T";"POP";"D";1998;232252
"08";"DEP";"_T";"_T";"POP";"D";1998;291329
"01";"DEP";"_T";"_T";"POP";"D";1998;509520
"58";"DEP";"_T";"_T";"POP";"D";1998;226776
"81";"DEP";"_T";"_T";"POP";"D";1998;342629
"32";"DEP";"_T";"_T";"POP";"D";1998;172580
"22";"DEP";"_T";"_T";"POP";"D";1998;541391
"95";"DEP";"_T";"_T";"POP";"D";1998;1100782
"68";"DEP";"_T";"_T";"POP";"D";1998;703394
"51";"DEP";"_T";"_T";"POP";"D";1998;565935
"974";"DEP";"_T";"_T";"POP";"D";1998;692184
"77";"DEP";"_T";"_T";"POP";"D";1998;1182543
"35";"DEP";"_T";"_T";"POP";"D";1998;857295
"11";"DEP";"_T";"_T";"POP";"D";1998;308125
"59";"DEP";"_T";"_T";"POP";"D";1998;2554942
"972";"DEP";"_T";"_T";"POP";"D";1998;377221
"57";"DEP";"_T";"_T";"POP";"D";1998;1022916
"07";"DEP";"_T";"_T";"POP";"D";1998;285181
"62";"DEP";"_T";"_T";"POP";"D";1998;1440495
"65";"DEP";"_T";"_T";"POP";"D";1998;222764
"89";"DEP";"_T";"_T";"POP";"D";1998;332773
"45";"DEP";"_T";"_T";"POP";"D";1999;617935
"53";"DEP";"_T";"_T";"POP";"D";1999;285218
"57";"DEP";"_T";"_T";"POP";"D";1999;1023763
"82";"DEP";"_T";"_T";"POP";"D";1999;206029
"87";"DEP";"_T";"_T";"POP";"D";1999;354055
"47";"DEP";"_T";"_T";"POP";"D";1999;305482
"02";"DEP";"_T";"_T";"POP";"D";1999;536181
"59";"DEP";"_T";"_T";"POP";"D";1999;2555471
"25";"DEP";"_T";"_T";"POP";"D";1999;499223
"68";"DEP";"_T";"_T";"POP";"D";1999;707555
"23";"DEP";"_T";"_T";"POP";"D";1999;124597
"54";"DEP";"_T";"_T";"POP";"D";1999;714295
"03";"DEP";"_T";"_T";"POP";"D";1999;345072
"2B";"DEP";"_T";"_T";"POP";"D";1999;141686
"34";"DEP";"_T";"_T";"POP";"D";1999;894537
"52";"DEP";"_T";"_T";"POP";"D";1999;195131
"71";"DEP";"_T";"_T";"POP";"D";1999;545443
"81";"DEP";"_T";"_T";"POP";"D";1999;343444
"04";"DEP";"_T";"_T";"POP";"D";1999;139515
"88";"DEP";"_T";"_T";"POP";"D";1999;381154
"67";"DEP";"_T";"_T";"POP";"D";1999;1025033
"58";"DEP";"_T";"_T";"POP";"D";1999;225485
"12";"DEP";"_T";"_T";"POP";"D";1999;264048
"21";"DEP";"_T";"_T";"POP";"D";1999;506699
"62";"DEP";"_T";"_T";"POP";"D";1999;1441996
"66";"DEP";"_T";"_T";"POP";"D";1999;392383
"33";"DEP";"_T";"_T";"POP";"D";1999;1286072
"2A";"DEP";"_T";"_T";"POP";"D";1999;118466
"24";"DEP";"_T";"_T";"POP";"D";1999;388407
"22";"DEP";"_T";"_T";"POP";"D";1999;542398
"13";"DEP";"_T";"_T";"POP";"D";1999;1833982
"42";"DEP";"_T";"_T";"POP";"D";1999;729081
"05";"DEP";"_T";"_T";"POP";"D";1999;121338
"26";"DEP";"_T";"_T";"POP";"D";1999;437654
"29";"DEP";"_T";"_T";"POP";"D";1999;852273
"35";"DEP";"_T";"_T";"POP";"D";1999;866111
"40";"DEP";"_T";"_T";"POP";"D";1999;327240
"27";"DEP";"_T";"_T";"POP";"D";1999;540918
"63";"DEP";"_T";"_T";"POP";"D";1999;604239
"91";"DEP";"_T";"_T";"POP";"D";1999;1133836
"77";"DEP";"_T";"_T";"POP";"D";1999;1191775
"50";"DEP";"_T";"_T";"POP";"D";1999;481466
"01";"DEP";"_T";"_T";"POP";"D";1999;514331
"971";"DEP";"_T";"_T";"POP";"D";1999;385609
"84";"DEP";"_T";"_T";"POP";"D";1999;499321
"73";"DEP";"_T";"_T";"POP";"D";1999;372752
"92";"DEP";"_T";"_T";"POP";"D";1999;1427888
"36";"DEP";"_T";"_T";"POP";"D";1999;231365
"72";"DEP";"_T";"_T";"POP";"D";1999;529782
"08";"DEP";"_T";"_T";"POP";"D";1999;290452
"16";"DEP";"_T";"_T";"POP";"D";1999;339828
"972";"DEP";"_T";"_T";"POP";"D";1999;380863
"19";"DEP";"_T";"_T";"POP";"D";1999;232819
"89";"DEP";"_T";"_T";"POP";"D";1999;333206
"93";"DEP";"_T";"_T";"POP";"D";1999;1383319
