Titre,Date,ID,date_version
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_22-06-2008,2022-05-01
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_22-06-2008,2022-05-01
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_14-05-2009,2022-07-01
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_01-10-2014,2022-05-07
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_06-08-2008,2022-04-28
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_20-12-2008,2022-04-28
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_21-12-2008,2022-04-28
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_01-01-2015,2022-05-12
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_14-02-2015,2022-04-28
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_13-01-2010,2022-04-30
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_10-12-2009,2022-04-28
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_26-11-2009,2022-05-04
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_30-10-2009,2022-04-28
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_07-08-2009,2022-04-25
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_01-08-2009,2022-07-31
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_16-10-2015,2022-04-22
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_19-12-2015,2022-07-21
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_26-06-2015,2022-04-15
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_03-10-2015,2022-07-01
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_30-12-2015,2022-04-22
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_28-01-2016,2022-04-16
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_01-02-2016,2022-05-16
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_27-12-2008,2022-04-11
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_10-01-2009,2022-04-29
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_07-03-2009,2022-04-06
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_01-04-2009,2022-04-14
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_10-02-2010,2022-04-03
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_09-03-2016,2022-04-23
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_16-03-2016,2022-04-04
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_15-04-2016,2022-04-11
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_22-04-2016,2022-07-01
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_28-01-2024,2022-05-01
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_21-02-2024,2022-04-04
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_17-02-2024,2022-05-01
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_23-03-2024,2022-04-01
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_11-04-2024,2022-07-29
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_30-09-2024,2022-04-01
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_15-06-2024,2022-03-25
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_15-06-2024,2022-04-09
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_23-05-2024,2022-04-08
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_05-06-2010,2022-04-15
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_08-05-2010,2022-07-08
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_26-06-2024,2022-03-25
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_04-03-2010,2022-03-23
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_12-05-2024,2022-03-23
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_25-07-2006,2022-03-23
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_05-04-2006,2022-03-23
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_28-02-2007,2022-03-12
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_31-12-2006,2022-03-21
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_09-10-2016,2022-03-13
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_01-11-2016,2022-03-13
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_20-11-2016,2022-03-16
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_05-11-2017,2022-03-19
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_17-09-2017,2022-03-04
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_16-12-2017,2022-03-10
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_09-06-2018,2022-03-04
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_04-08-2018,2022-03-01
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_06-05-2018,2022-04-15
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_15-12-2016,2022-02-23
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_31-12-2016,2022-08-18
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_27-01-2017,2022-02-24
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_11-12-2016,2022-05-11
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_02-04-2006,2022-02-19
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_25-02-2017,2022-02-20
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_19-02-2017,2022-03-12
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_06-08-2017,2022-03-12
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_01-03-2017,2022-03-12
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_27-12-2019,2022-03-12
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_09-04-2017,2022-02-23
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_03-03-2017,2022-02-21
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_02-03-2017,2022-02-26
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_06-08-2018,2022-02-12
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_09-11-2019,2022-02-11
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_04-10-2019,2022-01-01
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_24-11-2019,2022-02-09
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_30-12-2019,2022-02-09
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_01-01-2020,2022-03-05
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_27-12-2020,2022-02-04
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_10-04-2021,2022-02-02
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_01-01-2021,2022-02-04
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_24-03-2020,2021-09-01
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_12-09-2018,2022-02-06
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_25-10-2018,2022-01-27
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_09-11-2018,2022-02-24
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_01-05-2021,2022-02-18
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_16-12-2020,2022-01-26
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_12-05-2020,2022-03-02
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_25-03-2020,2022-01-29
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_05-07-2020,2022-01-27
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_12-08-2020,2022-02-18
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_22-03-2019,2022-02-04
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_04-03-2022,2022-01-28
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_01-05-2022,2022-03-31
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_26-01-2022,2022-02-04
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_25-03-2019,2022-08-31
